filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
signal_molecule_307_(sequence_0)_341b21f5-7fb0-481a-aab0-06635c737d99.fast5	341b21f5-7fb0-481a-aab0-06635c737d99	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.250500	200	FALSE	6339.999500	200	0.250500	119	6.843187	0.000000	95.711700	9.354023	93.523682	11.457969
signal_molecule_2901_(sequence_2)_406d8286-1a86-4d68-9215-3113ffca266d.fast5	406d8286-1a86-4d68-9215-3113ffca266d	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.252750	202	FALSE	6339.999500	202	0.252750	123	6.503173	0.000000	96.212814	9.019951	94.303322	11.031888
signal_molecule_988_(sequence_0)_bdaa3a13-99fd-4a60-af4e-f868e6dd57d8.fast5	bdaa3a13-99fd-4a60-af4e-f868e6dd57d8	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.256750	205	FALSE	6339.999500	205	0.256750	120	6.498999	0.000000	94.709488	8.184771	95.550301	11.078675
signal_molecule_1314_(sequence_1)_dec52af8-7d24-4ea5-aeaf-2bdc55556f82.fast5	dec52af8-7d24-4ea5-aeaf-2bdc55556f82	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.253750	203	FALSE	6339.999500	203	0.253750	116	5.953049	0.000000	92.538017	10.022168	91.059639	10.972399
signal_molecule_2390_(sequence_2)_e35fdacc-2348-4f6d-91c0-77648ae19400.fast5	e35fdacc-2348-4f6d-91c0-77648ae19400	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.250500	200	FALSE	6339.999500	200	0.250500	125	4.983092	0.000000	96.880959	7.683662	94.859360	11.736573
signal_molecule_2269_(sequence_2)_a477d1e8-0ac8-400b-9dd7-9968f3f7997d.fast5	a477d1e8-0ac8-400b-9dd7-9968f3f7997d	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.247750	198	FALSE	6339.999500	198	0.247750	118	6.887272	0.000000	95.043556	8.184771	94.010498	11.120313
signal_molecule_2597_(sequence_2)_73a8b6ae-ce6a-4367-a8e6-b80c2ddfdd3d.fast5	73a8b6ae-ce6a-4367-a8e6-b80c2ddfdd3d	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.252500	202	FALSE	6339.999500	202	0.252500	112	6.966855	0.000000	96.379845	7.683662	93.691513	11.095201
signal_molecule_2248_(sequence_2)_9d7845ea-c044-4a03-bb53-175d37fc1c41.fast5	9d7845ea-c044-4a03-bb53-175d37fc1c41	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.254000	203	FALSE	6339.999500	203	0.254000	118	6.109257	0.000000	94.709488	9.186987	92.668396	11.526319
signal_molecule_423_(sequence_0)_e5cd4266-514c-45d2-935e-6a7d19a2aec7.fast5	e5cd4266-514c-45d2-935e-6a7d19a2aec7	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.239000	191	FALSE	6339.999500	191	0.239000	109	5.613284	0.000000	96.713921	8.685879	94.026459	11.958353
signal_molecule_748_(sequence_0)_3353337d-901e-4990-8fe9-254ea81dab61.fast5	3353337d-901e-4990-8fe9-254ea81dab61	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.271500	217	FALSE	6340.078250	154	0.192750	92	5.760633	0.000000	96.045776	8.351807	93.885696	11.409277
