filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
signal_molecule_2347_(sequence_2)_2a8b986d-8552-42ab-ade4-fed1f3dcbcf0.fast5	2a8b986d-8552-42ab-ade4-fed1f3dcbcf0	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.250500	200	FALSE	6340.033250	173	0.216750	113	5.998815	0.000000	95.544670	8.852915	93.731277	11.499611
signal_molecule_1588_(sequence_1)_bce4bb09-2015-4fc4-9589-da6193c2402d.fast5	bce4bb09-2015-4fc4-9589-da6193c2402d	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.258500	206	FALSE	6339.999500	206	0.258500	116	6.694992	0.000000	95.711700	7.516626	92.423958	11.231945
signal_molecule_432_(sequence_0)_58453bc4-4a08-4359-b5f3-fba329a6d6f3.fast5	58453bc4-4a08-4359-b5f3-fba329a6d6f3	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.252000	201	FALSE	6339.999500	201	0.252000	122	6.652239	0.000000	94.709488	8.852915	94.119270	11.482417
signal_molecule_10_(sequence_0)_5482627b-0673-421e-8ac9-550d6300e0ec.fast5	5482627b-0673-421e-8ac9-550d6300e0ec	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.258000	206	FALSE	6339.999500	206	0.258000	117	6.648167	0.000000	95.878738	8.852915	94.491562	11.185593
signal_molecule_153_(sequence_0)_73639f0a-907f-41c3-931c-6d941576bdc2.fast5	73639f0a-907f-41c3-931c-6d941576bdc2	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.260250	208	FALSE	6339.999500	208	0.260250	119	6.849664	0.000000	95.377632	8.518843	93.123756	10.976009
signal_molecule_1700_(sequence_1)_cf604c65-6dca-45b5-a673-77da45318128.fast5	cf604c65-6dca-45b5-a673-77da45318128	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.258500	206	TRUE	6339.999500	206	0.258500	118	7.111410	0.000000	95.878738	8.184771	92.415062	11.250242
signal_molecule_2590_(sequence_2)_becee0ab-35e2-4425-b22c-f29068f78825.fast5	becee0ab-35e2-4425-b22c-f29068f78825	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.256500	205	TRUE	6339.999500	205	0.256500	119	7.314947	0.000000	95.043556	9.354023	93.978767	11.272903
signal_molecule_543_(sequence_0)_c4a430ac-20ea-4a87-b1c8-20c1f2682dc7.fast5	c4a430ac-20ea-4a87-b1c8-20c1f2682dc7	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.253000	202	TRUE	6339.999500	202	0.253000	112	8.068244	0.000000	95.043556	8.685879	93.261246	11.387053
signal_molecule_1786_(sequence_1)_02b50111-d837-4518-9b6b-019fc17e4bb6.fast5	02b50111-d837-4518-9b6b-019fc17e4bb6	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.251750	201	TRUE	6339.999500	201	0.251750	122	7.026838	0.000000	95.711700	7.850698	92.611099	11.023777
signal_molecule_1409_(sequence_1)_fe7ca6dc-1cf6-4ae7-8776-7222fdd34b4e.fast5	fe7ca6dc-1cf6-4ae7-8776-7222fdd34b4e	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.278000	222	TRUE	6339.999500	222	0.278000	117	7.798883	0.000000	95.210594	7.516626	92.648956	11.594214
signal_molecule_1887_(sequence_1)_eb69041f-c9af-48a1-aaf6-0d9013e6ee9f.fast5	eb69041f-c9af-48a1-aaf6-0d9013e6ee9f	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.239000	191	TRUE	6339.999500	191	0.239000	109	8.015470	0.000000	94.208382	8.518843	92.909401	11.442991
signal_molecule_1593_(sequence_1)_96d76270-c0c3-4070-bbbd-7888dd246aa5.fast5	96d76270-c0c3-4070-bbbd-7888dd246aa5	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.246750	197	TRUE	6339.999500	197	0.246750	119	7.400898	0.000000	95.210594	8.017735	93.104797	10.847943
signal_molecule_2148_(sequence_2)_21e98d9a-1c67-4a7d-ad29-aebdec4d0223.fast5	21e98d9a-1c67-4a7d-ad29-aebdec4d0223	c2d19c211888bc09d8e077df271f325c911c1010	0	100	1	6339.999500	0.278750	223	FALSE	6339.999500	223	0.278750	120	6.158889	0.000000	95.878738	8.184771	94.590286	11.273054
